Efeito da adubação mineral e orgânica associada a aplicação de biomassa carbonizada no cultivo de hortaliças;AGRONOMIA;Campus Juína;01/ago/18;31/jul/19
DESENVOLVIMENTO DE UM PLUVIÔMETRO DIGITAL DE BAIXO CUSTO PARA MONITORAMENTO DE PRECIPITAÇÃO;ENGENHARIA ELÉTRICA;Campus Cuiabá;01/ago/18;31/jul/19
Construção de Modelos Mentais com base no Comportamento do Consumidor e nos Atributos de Decisão de Compra;ADMINISTRAÇÃO;Campus Alta Floresta;01/ago/19;30/set/20
Elaboração de linguiça frescal com adição de óleo de buriti em substituição a gordura animal;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Cuiabá-Bela Vista;31/jul/18;01/ago/19
Produção e avaliação da qualidade de aguardente de manga produzida em Diamantino-MT;QUÍMICA;Campus Diamantino;01/ago/20;31/jul/21
Caracterização do perfil do consumidor de bolinho de arroz cuiabano na região metropolitana de Cuiabá/MT;ADMINISTRAÇÃO;Campus Cuiabá-Bela Vista;01/ago/18;31/jul/19
Alternativas de inoculação da bactéria Azospirillum brasilense em sementes e plantas de trigo;AGRONOMIA;Campus São Vicente;01/ago/19;30/set/20
REVESTIMENTO À BASE DE FÉCULA DE MANDIOCA NA EXTENSÃO DA VIDA DE PRATELEIRA DE OVOS COMERCIAIS EM DIFERENTES TEMPERATURAS DE CONSERVAÇÃO;ZOOTECNIA;Campus Alta Floresta;01/ago/20;31/jul/21
Desenvolvimento de inoculante à base de fungos micorrízicos arbusculares para incremento inicial de Sistemas Agroflorestais (SAF’s) da agricultura familiar na região médio-norte Mato-Grossense;MICROBIOLOGIA;Campus Sorriso;01/ago/21;31/jul/22
OBTENÇÃO DO CATALISADOR HETEROGÊNEO GLICERÓXIDO DE POTÁSSIO A PARTIR DO APROVEITAMENTO DA GLICERINA RESIDUAL BRUTA ORIUNDA DA PRODUÇÃO DE BIODIESEL;ENGENHARIA QUÍMICA;Campus Cáceres;01/ago/20;31/jul/21
Substituição da pele de ave por óleo de canola em empanado de frango.;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Cuiabá-Bela Vista;10/abr/19;10/out/19
Cápsulas de fertilizantes para agricultura urbana;AGRONOMIA;Campus Cáceres;01/ago/19;31/out/20
PROPAGAÇÃO VEGETATIVA DE ESPÉCIES NATIVAS DO CERRADO;ECOLOGIA;Campus Campo Novo do Parecis;01/ago/20;30/set/21
Sofrimento Psíquico-Social, sobrevivência e reinserção profissional de feirantes e vendedores ambulantes em tempos de covid-19;PSICOLOGIA;Campus Cuiabá;01/out/20;30/set/21
Etnia, classe e gênero: um estudo acerca dos marcadores de diferença como forma de estranhamento do outro entre estudantes do IFMT - versão 2019 / 2020;FILOSOFIA;Campus Rondonópolis;01/ago/19;31/out/20
IDENDRUS: PLATAFORMA WEB PARA A IDENTIFICAÇÃO  DE ESPÉCIES DO PANTANAL E CERRADO;CIÊNCIA DA COMPUTAÇÃO;Campus Cáceres;01/ago/19;31/out/20
PRODUTIVIDADE E COMPONENTES DE PRODUÇÃO DE MAMONA SOB MANEJO DE DESSECAÇÃO EM PRÉ-COLHEITA;AGRONOMIA;Campus Campo Novo do Parecis;01/ago/20;30/set/21
Gestor informatizado de troca de aulas;CIÊNCIA DA INFORMAÇÃO;Campus Cáceres;03/ago/20;30/jul/21
DESEMPENHO PRODUTIVO DE GIRASSOL EM CAMPO NOVO DO PARECIS;AGRONOMIA;Campus Campo Novo do Parecis;01/ago/19;31/out/20
Contador Geiger Muller com Arduíno;FÍSICA;Campus Juína;01/ago/21;31/jul/22
APLICAÇÃO DA CROMATOGRAFIA CIRCULAR DE PFEIFFER EM DIFERENTES SOLOS DO ESTADO DE MATO GROSSO;QUÍMICA;Campus Cuiabá-Bela Vista;07/dez/21;15/nov/22
ESTUDO E IMPLEMENTAÇÃO DE CONTROLE DE CONVERSORES GENÉRICOS UTILIZANDO DISPOSITIVO DE FPGA PARA APLICAÇÕES DIDÁTICAS;ENGENHARIA ELÉTRICA;Campus Cuiabá;29/jun/20;31/ago/21
Obtenção de Antioxidantes Naturais Presentes no Açafrão, Alfavaca-cravo, Moringa e  Folhas de Acerola a Partir da Hidrodestilação em Aparelho Tipo Clevenger para Redução da Oxidação dos Biodieseis.;ENGENHARIA QUÍMICA;Campus Cáceres;01/ago/20;31/ago/21
Extração, purificação e síntese de biopolímeros a partir de ácido lático;ENGENHARIA QUÍMICA;Campus Cáceres;01/ago/19;31/out/20
Morfologia e morfometria do sistema reprodutor masculino e espermatozoides de Deois flavopicta (Hemiptera: Cercopidae);BIOLOGIA GERAL;Campus Juína;01/ago/19;30/set/20
LANÇAMENTO DE CULTIVARES COM RESISTÊNCIA PARCIAL AO MOFO-BRANCO;AGRONOMIA;Campus Sorriso;01/ago/19;31/out/20
